id;nome_produto;auto;modelo_auto;status;data_agendamento
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
5099;"GETSCALE GS403";0;;ESTOQUE;"NAO AGENDADO"
